,targets,gpt3_generated_queries,targets result,gpt3 resilt,correct sintaxis,wrong query type,wrong query pattern,KG structure ignored,incomplete query,missed query,Angle brackets missed,incomplete triple,namespace mistake,hops target,hops generated,Errors sum
122,"ASK WHERE {
  wd:Q1650 (p:P2043/psn:P2043/wikibase:quantityAmount) ?v1.
  wd:Q584 (p:P2043/psn:P2043/wikibase:quantityAmount) ?v2.
  FILTER(?v1 > ?v2)
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Weser> ns1:length ?weserLength .  <http://dbpedia.org/resource/Rhine> ns1:length ?rhineLength .   SELECT ?weserLength ?rhineLength WHERE { <http://dbpedia.org/resource/Weser> <http://dbpedia.org/ontology/length> ?weserLength ; <http://dbpedia.org/resource/Rh,false ,,FALSE,1,1,,1,,,,1,,,4
123,"ASK WHERE {
  wd:Q9545 (p:P2048/psn:P2048/wikibase:quantityAmount) ?v1.
  wd:Q10993 (p:P2048/psn:P2048/wikibase:quantityAmount) ?v2.
  FILTER(?v1 > ?v2)
}","@prefix ns1: <http://dbpedia.org/ontology/> .  @prefix ns2: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Tony_Blair> a ns1:Person ;      ns2:height ""185"" .  <http://dbpedia.org/resource/Tiger_Woods> a ns1:Person ;      ns2:height ""188"" .  SELECT ?height1 ?height2 WHERE {    ?person1 ns2:height ?height",false ,,FALSE,1,1,,1,,,,1,,,4
124,"ASK WHERE { 
  wd:Q1297 wdt:P206 wd:Q1169. 
}","SELECT ?location WHERE {
  wd:Q1297 wdt:P206 ?location.
  FILTER(?location = wd:Q1169)
}",true ,wd:Q1169,1,1,,,,,,,,,,1
125,"ASK WHERE { 
  wd:Q6228 wdt:P47 wd:Q6224. 
}","SELECT ?district WHERE {
  wd:Q6228 wdt:P47 ?district.
  FILTER(?district = wd:Q6224)
}",true ,wd:Q6224,1,1,,,,,,,,,,1
126,"ASK WHERE { 
  wd:Q4186 wdt:P131 wd:Q7858. 
}","SELECT ?harz WHERE {
  ?harz wdt:P131 wd:Q7858;
    wdt:P31 wd:Q4186.
}",true ,-,1,1,,,,,,,,,,1
127,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 wdt:P31 wd:Q5;
    p:P166 ?v3.
  { ?v3 ps:P166 wd:Q37922. }
  UNION
  { ?v3 ps:P166 wd:Q38104. }
  ?v3 pq:P585 ?v4.
  FILTER((YEAR(?v4)) > 2000 )
}","http://www.wikidata.org/entity/Q323320 http://www.wikidata.org/prop/direct/P31 http://www.wikidata.org/entity/Q5 .  SELECT (COUNT(?person) AS ?count) WHERE {    ?person wdt:P166/wdt:P585 ?date FILTER (?date >= ""2000-01-01T00:00:00Z""^^xsd:dateTime)    {      ?person wdt:P166 wd:Q37922",82,,FALSE,,1,,1,,1,,,,,3
128,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  wd:Q408 wdt:P47 ?v1.
  ?v1 (p:P31/ps:P31) wd:Q6256.
}","SELECT (COUNT(?country) AS ?count) WHERE { 
  ?country wdt:P47 wd:Q408. 
}",4,6,1,,1,1,,,,,,,,2
129,"SELECT DISTINCT ?v1 WHERE {
  wd:Q71719 wdt:P1619 ?v2.
  BIND(YEAR(?v2) AS ?v1)
}","SELECT DISTINCT ?year WHERE { 
  wd:Q71719 wdt:P1619 ?year. 
}",1960,1 January 1960,1,,1,,,,,,,,,1
130,"ASK WHERE { 
  wd:Q858851 (p:P2002/pq:P1552) wd:Q28378282. 
}",@prefix ns1: <http://www.w3.org/ns/org#> .  @prefix ns2: <http://xmlns.com/foaf/0.1/> .  <http://dbpedia.org/resource/Linux_Foundation> ns1:hasPrimarySource <https://twitter.com/linuxfoundation> ;      ns2:verified true .   SELECT ?verified WHERE { <http://dbpedia.org/resource/Linux_Foundation> <http://xmlns.com/foaf/0.1/verified,true ,,FALSE,1,,,1,,,,1,,,3
131,"ASK WHERE {
  wd:Q567 wdt:P569 ?v1.
  wd:Q9545 wdt:P569 ?v2.
  FILTER((YEAR(?v2)) = (YEAR(?v1)))
}","SELECT ?dt ?da WHERE {
  wd:Q9545 wdt:P569 ?dt.
  wd:Q567 wdt:P569 ?da.
  FILTER(?dt = ?da)
}",false ,-,1,1,,,,,,,,,,1
132,"ASK WHERE {
  wd:Q5287 wdt:P1098 ?v1.
  FILTER(?v1 > 100000000 )
}",SELECT ?num WHERE { http://www.wikidata.org/entity/Q5287 http://www.wikidata.org/prop/direct/P1098 ?num . FILTER (?num > 100000000) },true ,,FALSE,1,,,,,1,,,,,2
133,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q482994;
    wdt:P175 wd:Q238819;
    wdt:P577 ?v2.
}
ORDER BY (?v2)
LIMIT 1","SELECT ?album WHERE {
  ?album wdt:P31 wd:Q482994;
    wdt:P175 wd:Q238819;
    wdt:P577 ?releaseDate.
  FILTER(?releaseDate = ""2005-01-01T00:00:00Z"")
}",wd:Q221115,-,1,,1,,,,,,,,,1
134,"ASK WHERE {
  wd:Q696928 wdt:P57 ?v1.
  wd:Q951002 wdt:P57 ?v2.
  FILTER(?v1 != ?v2)
}","SELECT ?dir ?dir2 WHERE {
  wd:Q696928 wdt:P57 ?dir.
  wd:Q951002 wdt:P57 ?dir2.
  FILTER(?dir != ?dir2)
}",false ,-,1,1,,,,,,,,,,1
135,"ASK WHERE { 
  wd:Q95 wdt:P112 wd:Q5284. 
}",SELECT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P112> <http://www.wikidata.org/entity/Q5284> . ?uri <http://www.wikidata.org/entity/Q95> },false ,,FALSE,1,,,,,,1,,,,2
136,"SELECT DISTINCT ?v1 WHERE {
  ?v2 wdt:P31 wd:Q19793459;
    wdt:P361 wd:Q8216;
    wdt:P156 ?v1.
  FILTER(NOT EXISTS { ?v2 wdt:P155 ?v3. })
}","SELECT ?letter WHERE {
  ?letter wdt:P361 wd:Q8216;
    wdt:P31 wd:Q19793459.
}
ORDER BY (?letter)
OFFSET 1
LIMIT 1",wd:Q14382,wd:Q25389226,1,,1,1,,,,,,,,2
137,"ASK {
  wd:Q25369 p:P54 ?v1.
  ?v1 ps:P54 ?v2;
    pq:P580 ?v3;
    pq:P582 ?v4.
  wd:Q169452 p:P54 ?v5.
  ?v5 ps:P54 ?v2;
    pq:P580 ?v6;
    pq:P582 ?v7.
  FILTER(((((YEAR(?v3)) <= 2000 ) && 
           ((YEAR(?v4)) >= 2000 )) && 
          ((YEAR(?v6)) <= 2000 )) && 
         ((YEAR(?v7)) >= 2000 ))
}","SELECT ?uri WHERE {    ?uri <http://www.wikidata.org/prop/P54> <http://www.wikidata.org/entity/Q121783> .    ?uri <http://www.wikidata.org/prop/qualifier/P580> ?date .    FILTER (?date >= ""2000-01-01T00:00:00Z""^^xsd:dateTime && ?date <= ""2000-12-31T00:00:00Z""^^xsd:dateTime)",true ,,FALSE,1,,,1,,,,,,,2
138,"ASK WHERE { 
  wd:Q169452 wdt:P106 wd:Q3665646, wd:Q10800557. 
}","SELECT ?v1 WHERE {
  wd:Q169452 wdt:P106 ?v1.
  FILTER((?v1 = wd:Q3665646) || (?v1 = wd:Q10800557))
}",true ,"wd:Q3665646
 wd:Q10800557",1,1,,,,,,,,,,1
139,"ASK {
  ?v1 wdt:P31 wd:Q482994;
    wdt:P175 wd:Q16954319;
    wdt:P577 ?v2.
  FILTER((NOT EXISTS {
    ?v3 wdt:P31 wd:Q482994;
      wdt:P175 wd:Q16954319;
      wdt:P577 ?v4.
    FILTER(?v4 < ?v2)
  }) && ((YEAR(?v2)) = 2012 ))
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Darkside_(band)> ns1:activeYearsStartYear ""2012"" ;     ns1:firstAlbum <http://dbpedia.org/resource/Psychic> .   SELECT ?uri WHERE { ?uri <http://dbpedia.org/ontology/activeYearsStartYear> ""2012"" ; <http://dbpedia.org/ontology/firstAlbum> <http://dbpedia.org/resource/Psychic>",false ,,FALSE,1,,,1,,,,1,,,3
140,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q4022.
  wd:Q118841 wdt:P206 ?v1.
}","SELECT ?v1 WHERE {
  ?v1 wdt:P206 wd:Q1265.
  wd:Q1265 wdt:P31 wd:Q4022.
}",wd:Q1265,"wd:Q816
 wd:Q829
 wd:Q1261
.........",1,,,1,,,,,,,,1
141,"SELECT DISTINCT ?v1 WHERE {
  ?v2 wdt:P31 wd:Q1006079;
    wdt:P361 wd:Q629029;
    wdt:P1001 wd:Q183;
    wdt:P467 ?v1.
}",SELECT ?v1 WHERE { ?v1 <http://www.wikidata.org/prop/direct/P467> <http://www.wikidata.org/entity/Q30542760> ; <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q1006079> ; <http://www.wikidata.org/prop/direct/P361> <http://www.wikidata.org/entity/Q629029> ; <http://www.,wd:Q30542760,,FALSE,,,,1,,,,,,,1
142,"SELECT DISTINCT ?v1 WHERE {
  ?v2 wdt:P31 wd:Q11862829;
    rdfs:label ?v1.
  FILTER((LANGMATCHES(LANG(?v1), ""de"")) && (REGEX(?v1, ""linguistik"")))
}","SELECT ?label WHERE {
  ?discipline rdfs:label ?label;
    wdt:P31 wd:Q11862829.
  FILTER(REGEX(?label, ""linguistik"", ""i""))
  FILTER((LANG(?label)) = ""de"")
}","Soziolinguistik
Soziolinguistik
Genderlinguistik
Rechtslinguistik
Interlinguistik
Ethnolinguistik
Ethnolinguistik
Patholinguistik","anthropologische Linguistik
historische Linguistik
angewandte Linguistik
Soziolinguistik
Genderlinguistik
deskriptive Linguistik
Rechtslinguistik
Ethnolinguistik
Interlinguistik
Allgemeine Linguistik
Patholinguistik
evolutionäre Linguistik",1,,1,,,,,,,,,1
143,"SELECT ?v1 WHERE {
  { wd:Q183 wdt:P35 ?v1. }
  UNION
  { wd:Q142 wdt:P35 ?v1. }
}","SELECT ?result WHERE {
  wd:Q142 wdt:P35 ?result.
  wd:Q183 wdt:P35 ?result.
}","wd:Q76658
 wd:Q3052772",-,1,,1,,,,,,,,,1
144,"SELECT DISTINCT ?v1 WHERE {
  ?v2 wdt:P22 wd:Q1203;
    wdt:P31 wd:Q5;
    wdt:P106 ?v1.
}",http://www.wikidata.org/entity/Q311238 http://www.wikidata.org/prop/direct/P106 http://www.wikidata.org/entity/Q55960555  SELECT ?profession WHERE { ?person wdt:P22 wd:Q1203 ; wdt:P31 wd:Q5 ; wdt:P106 ?profession . },"wd:Q177220
 wd:Q486748
 wd:Q488205
 wd:Q639669
 wd:Q855091
 wd:Q55960555
 wd:Q28389
 wd:Q33231
 wd:Q33999
 wd:Q36834
 wd:Q49757",,FALSE,,,,1,,1,,1,,,3
145,"SELECT DISTINCT ?v1 WHERE {
  BIND(IF(EXISTS {
    wd:Q201358 wdt:P580 ?v2.
    wd:Q1608064 wdt:P577 ?v3.
    FILTER(?v2 < ?v3)
  }, wd:Q201358, wd:Q1608064) AS ?v1)
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/The_Flintstones> ns1:endYear ""1960"" .  <http://dbpedia.org/resource/Voting_Rights_Act_of_1965> ns1:startYear ""1965"" .  SELECT DISTINCT ?endYear ?startYear WHERE {    <http://dbpedia.org/resource/The_Flintstones> <http://dbpedia.org/ontology/endYear> ?end",wd:Q201358,,FALSE,,1,,1,,,,1,,,3
146,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q322170 (wdt:P279/wdt:P425/wdt:P3712) ?v1. 
}",@prefix ns1: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Suffragette> a <http://dbpedia.org/ontology/Movement> ;     ns1:ideology ?ideology .  SELECT ?ideology WHERE {    <http://dbpedia.org/resource/Suffragette> <http://dbpedia.org/property/ideology> ?ideology  },wd:Q205204,,FALSE,,1,,,,,,1,,,2
147,"SELECT DISTINCT ?v1 WHERE {
  wd:Q39018 wdt:P2521 ?v1.
  FILTER(LANGMATCHES(LANG(?v1), ""en""))
}","SELECT ?result WHERE {    http://www.wikidata.org/entity/Q39018 http://www.wikidata.org/prop/direct/P2521 ?result .    FILTER (?result = ""Empress"") }",empress ,,FALSE,,,,,,1,,,,,1
148,"ASK WHERE { 
  FILTER(NOT EXISTS { wd:Q213849 wdt:P576 ?v1. }) 
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/ATI_Technologies> ns1:dissolutionYear ""?uri"" .  SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/ATI_Technologies> <http://dbpedia.org/ontology/dissolutionYear> ?uri }",false ,,FALSE,1,1,,,,,,1,,,3
149,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q1779 wdt:P1303 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q1779 http://www.wikidata.org/prop/direct/P1303 ?result . },"wd:Q202027
 wd:Q17172850
 wd:Q8338",,FALSE,,,,,,1,,,,,1
150,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q6711 (wdt:P451/wdt:P21) ?v1. 
}","@prefix ns1: <http://dbpedia.org/ontology/> .  @prefix ns2: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/Allen_Ginsberg> ns2:partner <http://dbpedia.org/resource/Peter_Orlovsky> ;  ns1:gender ""male"" .  <http://dbpedia.org/resource/Peter_Orlovsky> ns1:gender ""male"" .   SELECT ?gender WHERE { <http://dbpedia.org",wd:Q6581097,,FALSE,,,,1,,,,1,,,2
151,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q79226802;
    wdt:P155 wd:Q599644.
}",SELECT ?animal WHERE {    <http://www.wikidata.org/entity/Q740762> <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q79226802> .    <http://www.wikidata.org/entity/Q740762> <http://www.wikidata.org/prop/direct/P155> ?animal .    FILTER (?animal != <http://www.wikidata.org/entity/Q,wd:Q740762,,FALSE,,1,,1,,,,,,,2
152,"SELECT (SUM(?v1) AS ?v2) WHERE {
  {
    SELECT DISTINCT ?v3 WHERE {
      ?v3 wdt:P361 wd:Q30748112;
        wdt:P1128 ?v4.
    }
    ORDER BY DESC (?v4)
    LIMIT 3
  }
  ?v3 p:P2139 ?v5.
  ?v5 ps:P2139 ?v1;
    pq:P585 ?v6.
  FILTER(NOT EXISTS {
    ?v3 (p:P2139/pq:P585) ?v7.
    FILTER(?v7 > ?v6)
  })
}","SELECT (SUM(?revenue) AS ?totalRevenue) WHERE {
  ?company wdt:P361 wd:Q30748112;
    wdt:P2139 ?revenue;
    wdt:P585 ?date.
  FILTER(?date = ""2022-01-01T00:00:00Z""^^xsd:dateTime)
}
ORDER BY DESC (?revenue)
LIMIT 3",1106581000000,0,1,,1,1,,,,,,,,2
153,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q15174 wdt:P625 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q15174 http://www.wikidata.org/prop/direct/P625 ?result . },Point(114.054 22.535),,FALSE,,,,,,1,,,,,1
154,"ASK WHERE {
  ?v1 wdt:P31 wd:Q163829;
    wdt:P176 wd:Q848490.
}","SELECT ?item WHERE {
  ?item wdt:P176 wd:Q848490;
    wdt:P31 wd:Q163829.
  FILTER(?item IN(wd:Q3440111, wd:Q7360499, wd:Q11351083, wd:Q11351077, wd:Q111530515, wd:Q21010160))
}",true ,"wd:Q3440111
 wd:Q7360499
 wd:Q11351077
 wd:Q11351083
 wd:Q21010160
 wd:Q111530515",1,,1,,,,,,,,,1
155,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q230141 wdt:P103 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q230141 http://www.wikidata.org/prop/direct/P103 ?result },wd:Q33578,,FALSE,,,,,,1,,,,,1
156,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P178 wd:Q677273;
    wdt:P577 ?v2.
}
ORDER BY (?v2)
OFFSET 1
LIMIT 1","SELECT ?game WHERE {    ?game <http://www.wikidata.org/prop/direct/P178> <http://www.wikidata.org/entity/Q677273> .    ?game <http://www.wikidata.org/prop/direct/P577> ?date .    FILTER (?date > ""2006-11-20T00:00:00Z""^^xsd:dateTime && ?date < ""2012-04-24T00:00:00Z""^^xsd:dateTime)",wd:Q1456987,,FALSE,,1,,1,,,,,,,2
157,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q5398426;
    wdt:P161 wd:Q23760;
    wdt:P2437 ?v2;
    wdt:P580 ?v3.
  FILTER(((YEAR(?v3)) = 1983 ) && (?v2 = 4 ))
}","SELECT ?uri WHERE { ?uri <http://www.wikidata.org/prop/direct/P2437> 4 ; <http://www.wikidata.org/prop/direct/P580> ""1983-06-15T00:00:00Z""^^xsd:dateTime ; <http://www.wikidata.org/prop/direct/P161> <http://www.wikidata.org/entity/Q23760> ; <http://www.wikidata.org/prop/direct/P31> <http://www.",wd:Q49019,,FALSE,,1,,1,,,,,,,2
158,"SELECT DISTINCT ?v1 WHERE {
  wd:Q1768 wdt:P1449 ?v1.
  FILTER(LANGMATCHES(LANG(?v1), ""en""))
}","SELECT ?result WHERE { 
  wd:Q1768 wdt:P1449 ?result. 
}",Lady Ella,"Lady Ella
la Primera dama de la canción
la Reina del jazz",1,,1,,,,,,,,,1
159,"SELECT DISTINCT ?v1 WHERE {
  wd:Q272855 wdt:P40 ?v2.
  ?v2 wdt:P21 wd:Q6581072;
    wdt:P106 ?v1.
}","SELECT ?occupation WHERE {    
  ?person wdt:P40 wd:Q272855 .    ?person wdt:P106 ?occupation .  
}","wd:Q998550
 wd:Q6625963
 wd:Q9170932
 wd:Q36180","wd:Q47064
 wd:Q3546255",1,,,1,,,,,,,,1
160,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE { 
  wd:Q27496 (wdt:P527/wdt:P2936) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  @prefix ns2: <http://dbpedia.org/property/> .  <http://dbpedia.org/resource/West_Europe> a ns1:Region ;      ns2:languagesSpoken ?language .  SELECT (COUNT(DISTINCT ?language) AS ?count) WHERE {    <http://dbpedia.org/resource/West_Europe> <http://dbpedia.org/property/languagesSpoken> ?language . },58,,FALSE,,1,,,,,,1,,,2
161,"ASK WHERE {
  wd:Q183 (p:P2046/psn:P2046/wikibase:quantityAmount) ?v1.
  wd:Q36 (p:P2046/psn:P2046/wikibase:quantityAmount) ?v2.
  FILTER(?v1 > ?v2)
}","@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Germany> a ns1:Country ;     ns1:areaTotal ""357021"" .  <http://dbpedia.org/resource/Poland> a ns1:Country ;     ns1:areaTotal ""312679"" .  SELECT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> ; <http://dbpedia.org/ontology/areaTotal> ?n FILTER ( ?n >",true  ,,FALSE,1,,,1,,,,1,,,3
162,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v3 wdt:P166 wd:Q37922;
    (wdt:P26/wdt:P106) ?v1.
}",http://www.wikidata.org/entity/Q81177 http://www.wikidata.org/prop/direct/P166 http://www.wikidata.org/entity/Q37922 .  SELECT (COUNT(DISTINCT ?occupation) AS ?count) WHERE {    ?winner wdt:P166 wd:Q37922 .    ?spouse wdt:P26 ?winner .    ?spouse wdt:P106 ?occupation .  },69,,FALSE,,1,,,,1,,1,,,3
163,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q7889;
    wdt:P577 ?v3.
  wd:Q24514682 wdt:P577 ?v4.
  FILTER((YEAR(?v3)) = (YEAR(?v4)))
}","http://www.wikidata.org/entity/Q28127437 http://www.wikidata.org/prop/direct/P31 http://www.wikidata.org/entity/Q7889 .  SELECT (COUNT(?game) AS ?count) WHERE {    ?game <http://www.wikidata.org/prop/direct/P577> ?date .    FILTER (?date = ""2016-03-24T00:00:00Z""^^xsd:dateTime)    ?game <http",2168,,FALSE,,1,,1,,1,,,,,3
164,"SELECT DISTINCT ?v1 WHERE {
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q8432;
    wdt:P580 ?v2;
    wdt:P582 ?v3.
  wd:Q12542 wdt:P580 ?v4;
    wdt:P582 ?v5.
  FILTER(((?v2 < ?v5) && (?v3 > ?v4)) && (?v1 != wd:Q12542))
}",SELECT ?v1 WHERE { ?v1 <http://www.wikidata.org/prop/direct/P580> ?v2 . FILTER (?v2 < 1521-01-01T00:00:00Z) },"wd:Q752688
 wd:Q1500702",,FALSE,,1,,,,,,,,,1
165,"SELECT (COUNT(DISTINCT ?v1) AS ?v2) WHERE {
  ?v1 (wdt:P31/(wdt:P279*)) wd:Q11424;
    wdt:P136 wd:Q842256;
    wdt:P577 ?v3.
  wd:Q267721 wdt:P577 ?v4.
  FILTER(((YEAR(?v3)) = (YEAR(?v4))) && (?v1 != wd:Q267721))
}","http://www.wikidata.org/entity/Q300568 http://www.wikidata.org/prop/direct/P577 1978-06-16T00:00:00Z .  SELECT (COUNT(?uri) AS ?count) WHERE { ?uri <http://www.wikidata.org/prop/direct/P136> <http://www.wikidata.org/entity/Q842256> ; <http://www.wikidata.org/prop/direct/P577> ?date FILTER regex(?date, '^",58,,FALSE,,,,1,,1,,1,,,3
166,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q482994;
    wdt:P175 wd:Q755830.
}","SELECT ?album WHERE {
  ?album wdt:P31 wd:Q482994;
    wdt:P175 wd:Q755830.
  { wd:Q14016 wdt:P175 ?album. }
  UNION
  { wd:Q6819157 wdt:P175 ?album. }
  UNION
  { wd:Q6125801 wdt:P175 ?album. }
}","wd:Q6125801
 wd:Q6819157
 wd:Q14016",-,1,,1,,,,,,,,,1
167,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q167685 wdt:P2925 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q167685 http://www.wikidata.org/prop/direct/P2925 ?result },"wd:Q167312
 wd:Q529711
 wd:Q777671
 wd:Q1135449
 wd:Q21263223
 wd:Q59627780
 wd:Q11471
 wd:Q53060",,FALSE,,,,1,,,,,,,1
168,"SELECT DISTINCT ?v1 WHERE {
  wd:Q177329 wdt:P7047 ?v1.
  ?v1 wdt:P31 wd:Q74359.
}","SELECT ?uri WHERE {
  ?uri wdt:P31 wd:Q74359;
    wdt:P7047 wd:Q15007.
}",wd:Q15007,"wd:Q177329
 wd:Q185737
 wd:Q219473
 wd:Q2069844",1,,,1,,,,,,,,1
169,"SELECT DISTINCT ?v1 WHERE {
  ?v1 wdt:P31 wd:Q3305213;
    wdt:P170 wd:Q5582;
    wdt:P571 ?v2.
}
ORDER BY DESC (?v2)
LIMIT 1",SELECT ?painting WHERE { ?painting <http://www.wikidata.org/prop/direct/P170> <http://www.wikidata.org/entity/Q5582> . ?painting <http://www.wikidata.org/prop/direct/P31> <http://www.wikidata.org/entity/Q3305213> . ?painting <http://www.wikidata.org/prop/direct/P571> ?date . FILTER (?date = (SELECT MAX(?date) WHERE { ?pain,wd:Q116896379,,FALSE,,1,,1,,,,,,,2
170,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q81214 wdt:P580 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q81214 http://www.wikidata.org/prop/direct/P580 ?result },3600001 BCE,,FALSE,,,,,,1,,,,,1
171,"SELECT DISTINCT ?v1 WHERE {
  wd:Q5086 wdt:P576 ?v2.
  BIND(YEAR(?v2) AS ?v1)
}","SELECT DISTINCT ?time WHERE { 
  wd:Q5086 wdt:P576 ?time. 
}",1989,9 November 1989,1,,1,,,,,,,,,1
172,"SELECT DISTINCT ?v1 WHERE {
  wd:Q23001951 wdt:P580 ?v2.
  BIND(YEAR(?v2) AS ?v1)
}",SELECT ?time WHERE { http://www.wikidata.org/entity/Q23001951 http://www.wikidata.org/prop/direct/P580 ?time },2017,,FALSE,,1,,,,1,,,,,2
173,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q6711 wdt:P570 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q6711 http://www.wikidata.org/prop/direct/P570 ?result },5 April 1997,,FALSE,,,,,,1,,,,,1
174,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q1768 wdt:P570 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q1768 http://www.wikidata.org/prop/direct/P570 ?result . },15 June 1996,,FALSE,,,,,,1,,,,,1
175,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q843 wdt:P571 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q843 http://www.wikidata.org/prop/direct/P571 ?result },14 August 1947,,FALSE,,,,,,1,,,,,1
176,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q43347 wdt:P570 ?v1. 
}",SELECT DISTINCT ?result WHERE { http://www.wikidata.org/entity/Q43347 http://www.wikidata.org/prop/direct/P570 ?result },17 December 1273,,FALSE,,,,,,1,,,,,1
177,"SELECT DISTINCT ?v1 WHERE {
  wd:Q265954 (wdt:P50/wdt:P3373) ?v2.
  ?v2 wdt:P21 wd:Q6581097;
    wdt:P570 ?v1.
}",http://www.wikidata.org/entity/Q4124918 http://www.wikidata.org/prop/direct/P3373 http://www.wikidata.org/entity/Q42 .  SELECT ?date WHERE {    ?brother wdt:P21 wd:Q6581097 .    ?brother wdt:P3373 wd:Q42 .    ?brother wdt:P570 ?date .  },25 April 1997,,FALSE,,1,,1,,1,,1,,,4
178,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q13979 (wdt:P170/wdt:P569) ?v1. 
}",@prefix ns1: <http://dbpedia.org/ontology/> .  <http://dbpedia.org/resource/Saturday_Night_Live> a ns1:TelevisionShow ;      ns1:creator <http://dbpedia.org/resource/Lorne_Michaels> .  <http://dbpedia.org/resource/Lorne_Michaels> a ns1:Person ;      ns1:birthDate ?date .   SELECT ?date WHERE { <http://dbpedia.org/resource/Saturday_Night_,17 November 1944,,FALSE,,,,1,,,,1,,,2
179,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q551416 wdt:P710 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q551416 http://www.wikidata.org/prop/direct/P710 ?result },"wd:Q213595
 wd:Q214481",,FALSE,,,,,,1,,,,,1
180,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q19798744 wdt:P580 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q19798744 http://www.wikidata.org/prop/direct/P580 ?result },16 December 2016,,FALSE,,,,,,1,,,,,1
181,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q815436 wdt:P1120 ?v1. 
}",SELECT (COUNT(?result) AS ?totalCasualties) WHERE { http://www.wikidata.org/entity/Q815436 http://www.wikidata.org/prop/direct/P1120 ?result },3532,,FALSE,,,,,,1,,,,,1
182,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q41304 wdt:P571 ?v1. 
}",SELECT DISTINCT ?result WHERE { http://www.wikidata.org/entity/Q41304 http://www.wikidata.org/prop/direct/P571 ?result },9 November 1918,,FALSE,,,,,,1,,,,,1
183,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q362 wdt:P582 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q362 http://www.wikidata.org/prop/direct/P582 ?result . },2 September 1945,,FALSE,,,,,,1,,,,,1
184,"SELECT DISTINCT ?v1 WHERE { 
  wd:Q58815001 wdt:P577 ?v1. 
}",SELECT ?result WHERE { http://www.wikidata.org/entity/Q58815001 http://www.wikidata.org/prop/direct/P577 ?result },12 November 2021,,FALSE,,,,,,1,,,,,1
